"","IsolateID","reads","taxon_id","Fungal_Order","Fungal_Family","Fungal_species","RelativeAbundance","relab_pct","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","K02",1,857265,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"2","K02",1,2795101,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.00952381,0.952380952,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"," Achromobacter"
"3","K02",1,2200880,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"4","K02",3,813,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.085714286,8.571428571,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Chlamydiaceae","Unidentified","Chlamydia/Chlamydophila group"
"5","K02",1,1509483,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.166666667,16.66666667,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Spirosomaceae","Unidentified","Unidentified"
"6","K02",1,1231134,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"7","K02",1,2234116,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.142857143,14.28571429,"Bacteria","Bacteroidota","Bacteroidia","Marinilabiliales","Marinilabiliaceae","Unidentified","Unidentified"
"8","K02",1,2258963,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"9","K02",1,2487017,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.5,50,"Bacteria","Bacteroidota","Bacteroidia","Marinilabiliales","Marinifilaceae","Unidentified","Unidentified"
"10","K02",1,2213046,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"11","K02",1,2666307,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.25,25,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"12","K02",1,2137476,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"13","K02",1,2163881,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.2,20,"Bacteria","Bacillota","Unidentified","Bacillales","Paenibacillaceae","Unidentified","Paenibacillus sp."
"14","K02",1,2447902,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"15","K02",1,2706031,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"16","K02",1,2742137,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",1,100,"Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"17","K02",1,2977365,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora",0.166666667,16.66666667,"Bacteria","Bacillota","Unidentified","Bacillales","Paenibacillaceae","Unidentified","Paenibacillus sp."
