"","IsolateID","X","percent","reads","taxon_id","taxon_name","realm","kingdom","phylum","class","RelativeAbundance","relab_pct","Fungal_Order","Fungal_Family","Fungal_species","Fungal_Genus","Fungal_class"
"1","K02",301,0.27027,1,37665,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.0909090909090909,9.09090909090909,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"2","K02",219,0.27027,1,3044472,"Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes",0.333333333333333,33.3333333333333,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"3","K02",490,0.27027,1,459770,"Viruses","unclassified dsRNA viruses","unclassified dsRNA viruses","unclassified dsRNA viruses","unclassified dsRNA viruses",0.0555555555555556,5.55555555555556,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"4","K02",166,1.081081,4,2094720,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.0597014925373134,5.97014925373134,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"5","K02",363,0.27027,1,67082,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes",0.5,50,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"6","K02",298,1.081081,4,2023057,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.0506329113924051,5.06329113924051,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"7","K02",167,0.810811,3,2024608,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.103448275862069,10.3448275862069,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"8","K02",300,0.27027,1,10506,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.111111111111111,11.1111111111111,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"9","K02",169,0.27027,1,3044648,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.0909090909090909,9.09090909090909,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"10","K02",362,0.540541,2,109981,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes",0.0833333333333333,8.33333333333333,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"11","K02",165,1.081081,4,212035,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes",0.0634920634920635,6.34920634920635,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
