"","IsolateID","reads","taxon_id","taxon_name","realm","kingdom","phylum","class","order","family","genus","species","RelativeAbundance","relab_pct","Fungal_Order","Fungal_Family","Fungal_species","Fungal_Genus","Fungal_class"
"1","K02",1,2772511,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.2,20,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"2","K02",1,2733178,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.1,10,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"3","K02",1,273133,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.1,10,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"4","K02",15,2094720,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","unidentified","unidentified","unidentified",0.046153846,4.615384615,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"5","K02",3,2733139,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.057692308,5.769230769,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"6","K02",2,2014434,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.029850746,2.985074627,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"7","K02",16,2023057,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","unidentified","unidentified","unidentified",0.051446945,5.144694534,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"8","K02",1,2733124,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.02173913,2.173913043,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"9","K02",9,2060617,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Imitervirales","unidentified","unidentified","unidentified",0.052631579,5.263157895,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"10","K02",2,10682,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.086956522,8.695652174,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"11","K02",18,3060017,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","unidentified","unidentified","unidentified",0.039823009,3.982300885,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
